key,,admin_name1,latitude,longitude,accuracy
IN,125005,Haryana,29.1118,75.7598,
IN,125011,Haryana,29.1118,75.7598,
IN,125012,Haryana,29.1118,75.7598,
IN,125024,Haryana,28.8,76.075,
IN,125025,Haryana,28.8,76.075,
IN,125026,Haryana,28.8,76.075,
IN,125027,Haryana,28.8833,76.25,4
IN,125028,Haryana,28.8,76.075,
IN,125029,Haryana,28.7167,75.9,4
IN,125030,Haryana,28.65,75.95,4
IN,125031,Haryana,28.9833,76.0083,
IN,125032,Haryana,28.9833,76.0083,
IN,125033,Haryana,29.1,75.9667,4
IN,125034,Haryana,28.9833,76.0083,
IN,125035,Haryana,28.9667,75.9667,4
IN,125036,Haryana,28.9833,76.0083,
IN,125037,Haryana,28.9833,76.0083,
IN,125038,Haryana,28.9833,76.0083,
IN,125039,Haryana,29.2167,76.15,4
IN,125040,Haryana,28.8833,75.9167,4
IN,125041,Haryana,29.1167,75.725,
IN,125042,Haryana,29.1167,75.725,
IN,125043,Haryana,29.1167,75.725,
IN,125044,Haryana,29.1167,75.725,
IN,125045,Haryana,28.9667,75.6167,4
IN,125046,Haryana,28.9167,75.6167,4
IN,125047,Haryana,29.3333,75.6333,4
IN,125048,Haryana,29.4167,75.55,4
IN,125049,Haryana,29.1833,76.0167,4
IN,125050,Haryana,29.5333,75.0167,
IN,125051,Haryana,29.5333,75.0167,
IN,125052,Haryana,29.5333,75.0167,
IN,125054,Haryana,29.5333,75.0167,
IN,125055,Haryana,29.5333,75.0167,
IN,125056,Haryana,29.5333,75.0167,4
IN,125057,Haryana,29.5333,75.0167,
IN,125058,Haryana,29.5333,75.0167,
IN,125060,Haryana,28.9333,76.1667,
IN,125061,Haryana,28.9333,76.1667,
IN,125062,Haryana,28.9333,76.1667,4
IN,125063,Haryana,28.9333,76.1667,
IN,125064,Haryana,28.9333,76.1667,
IN,125065,Haryana,28.9333,76.1667,
IN,125066,Haryana,28.9333,76.1667,
IN,125067,Haryana,28.9333,76.1667,
IN,125069,Haryana,28.9333,76.1667,
IN,125071,Haryana,29.5917,75.15,
IN,125073,Haryana,29.5917,75.15,
IN,125074,Haryana,29.5917,75.15,
IN,125076,Haryana,29.5333,74.8333,4
IN,125077,Haryana,29.5917,75.15,
IN,125078,Haryana,29.5917,75.15,
IN,125079,Haryana,29.65,75.4667,4
IN,125081,Haryana,29.0167,75.9,
IN,125082,Haryana,29.0167,75.9,
IN,125083,Haryana,29.0167,75.9,4
IN,125084,Haryana,29.0167,75.9,
IN,125086,Haryana,29.0167,75.9,
IN,125087,Haryana,29.0167,75.9,
IN,125088,Haryana,29.0167,75.9,
IN,125101,Haryana,29.7833,74.5333,4
IN,125102,Haryana,29.45,74.65,4
IN,125103,Haryana,29.4278,74.9722,
IN,125104,Haryana,29.4278,74.9722,
IN,125105,Haryana,29.05,75.7333,4
IN,125106,Haryana,29.4278,74.9722,
IN,125107,Haryana,29.4278,74.9722,
IN,125108,Haryana,29.4278,74.9722,
IN,125109,Haryana,29.4278,74.9722,
IN,125112,Haryana,29.4167,76.6667,4
IN,125201,Haryana,29.85,74.95,4
IN,125202,Haryana,29.75,75.2,4
IN,125203,Haryana,29.8,75.075,
IN,126001,Haryana,29.8,75.8333,4
IN,126006,Haryana,29.6583,75.85,
IN,126007,Haryana,29.6583,75.85,
IN,126009,Haryana,29.5167,75.8667,4
IN,126010,Haryana,29.3833,75.9167,4
IN,126011,Haryana,29.3833,75.9167,
IN,126014,Haryana,29.3833,75.9167,
IN,126015,Haryana,29.3833,75.9167,
IN,126025,Haryana,29.5667,75.8722,
IN,126027,Haryana,29.5667,75.8722,
IN,126101,Haryana,29.1333,76.4167,4
IN,126102,Haryana,29.1333,76.4167,
IN,126104,Haryana,29.1333,76.4167,
IN,126105,Haryana,29.1333,76.4167,
IN,126106,Haryana,29.1333,76.4167,
IN,126108,Haryana,29.1333,76.4167,
IN,126109,Haryana,29.1333,76.4167,
IN,126110,Haryana,29.6517,76.318,
IN,126111,Haryana,29.8236,77.0886,4
IN,126113,Haryana,29.6517,76.318,
IN,126114,Haryana,29.6517,76.318,
IN,126115,Haryana,29.4667,76.1667,4
IN,126116,Haryana,29.6167,76.1167,
IN,126117,Haryana,29.6517,76.318,
IN,126118,Haryana,29.6517,76.318,
IN,126119,Haryana,29.7,75.9,4
IN,126120,Haryana,29.3833,76.55,
IN,126121,Haryana,29.3833,76.55,4
IN,126122,Haryana,29.3833,76.55,
IN,126123,Haryana,29.3833,76.55,
IN,126124,Haryana,29.3833,76.55,
IN,126126,Haryana,29.3833,76.55,
IN,126127,Haryana,29.3833,76.55,
IN,126128,Haryana,29.3833,76.55,
IN,126129,Haryana,29.3833,76.55,
IN,126130,Haryana,29.5274,76.2272,
IN,126131,Haryana,29.5274,76.2272,
IN,126132,Haryana,29.5274,76.2272,
IN,126133,Haryana,29.5274,76.2272,
IN,126135,Haryana,29.5274,76.2272,
IN,126139,Haryana,29.5274,76.2272,
IN,126140,Haryana,29.7167,76.1333,4
IN,126141,Haryana,29.3333,76.6167,4
IN,126143,Haryana,29.5375,76.0083,
IN,126145,Haryana,29.65,76.3667,4
IN,126149,Haryana,29.45,74.9167,4
IN,126150,Haryana,29.5274,76.2272,
IN,126151,Haryana,29.5274,76.2272,
IN,126152,Haryana,29.5274,76.2272,
IN,126153,Haryana,29.5274,76.2272,
IN,126154,Haryana,29.5274,76.2272,
IN,131001,Haryana,29.2,76.8167,
IN,131021,Haryana,29.2,76.8167,
IN,131023,Haryana,29.6667,76.4333,4
IN,131024,Haryana,29.0667,76.9,4
IN,131025,Haryana,29.0333,76.85,4
IN,131026,Haryana,29.2,76.8167,
IN,131027,Haryana,29.0333,77.0833,4
IN,131029,Haryana,29.2,76.8167,
IN,131030,Haryana,29.2,76.8167,
IN,131031,Haryana,29.2,76.8167,
IN,131032,Haryana,29.2,76.8167,
IN,131034,Haryana,29.2,76.8167,
IN,131035,Haryana,29.2,76.8167,
IN,131036,Haryana,29.2,76.8167,
IN,131038,Haryana,29.2,76.8167,
IN,131101,Haryana,29.1167,76.95,
IN,131102,Haryana,29.1167,76.95,4
IN,131103,Haryana,29.1167,76.95,
IN,131104,Haryana,29.1167,76.95,
IN,131105,Haryana,29.1167,76.95,
IN,131107,Haryana,29.1167,76.95,
IN,131108,Haryana,29.1167,76.95,
