,pincode,latitude,longitude,location,subzone,top_cuisines,popularity,nearby_res
50,700052,22.6317737,88.43024735,Kaikhali,Kaikhali,"North Indian,Chinese,Fast Food,Biryani,Bengali",4.66,"24485,18848647,22165,18166925,18361657,18598556,18440204,24471,24808"
48,700050,22.6299622,88.38181745,Sinthi,Sinthi,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.64,"18398882,18439471,18471936,21892,24543,18214001,18706770,18589905,18551164"
75,700080,22.6246233,88.4172204,Dum Dum,Nagerbazar,"Chinese,North Indian,Fast Food,Bengali,Biryani",4.31,"18676394,23227,18166923,21296,18017608,24547,18334323,23557,24808"
70,700074,22.62308192,88.40550499,Dum Dum,Dum Dum,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.32,"23922,21552,23085,18678558,18822000,25251,18236290,18660416,18643181"
127,700136,22.6216,88.4355,Kaikhali,Chinar Park,"North Indian,Chinese,Fast Food,Biryani,Continental",4.39,"24485,18166925,18414440,19028782,20894,18440204,21540,18270247,21881"
1,700002,22.6189,88.3732,Dum Dum,Paikpara,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.77,"18398882,18439471,18471936,18214001,18589905,18685103,20785,21341,18070806"
29,700030,22.6175297,88.39588259,Dum Dum,Dum Dum,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.32,"23922,21552,23085,18678558,18822000,25251,18236290,18660416,18643181"
143,700157,22.6145,88.45299999999999,New Town,New Town,"North Indian,Chinese,Biryani,Fast Food,Continental",3.54,"18581816,18249185,25538,19152824,18934854,21621,19157931,24678,18311125"
57,700059,22.6138,88.4339,Baguihati,Baguihati,"Chinese,North Indian,Fast Food,Bengali,Biryani",4.57,"24485,18848647,22165,18676394,18166925,18361657,18598556,21296,24471"
53,700055,22.6111,88.4091,Bangur,Bangur,"Chinese,North Indian,Fast Food,Beverages,Desserts",4.86,"19059355,18568762,19300247,23227,21483,18166923,24760,18017608,21296"
83,700089,22.60442221,88.39995751,Lake Town,Lake Town,"Chinese,North Indian,Fast Food,Desserts,Beverages",4.92,"19059355,18568762,18377098,19300247,23227,18166923,18979667,18017608,24760"
94,700101,22.6016482,88.4254938,Kestopur,Kestopur,"North Indian,Chinese,Fast Food,Biryani,Bengali",4.43,"18712598,18162654,21483,18162667,18440200,18740148,18586622,18623944,18535732"
3,700004,22.60041139,88.37404512,Shyam Bazar,Shyam Bazar,"Chinese,North Indian,Fast Food,Biryani,Bengali",4.72,"23359,25208,18017618,18649952,21288,22078,25213,21612,18420477"
126,700135,22.5995,88.5287,New Town,New Town,"North Indian,Chinese,Biryani,Fast Food,Continental",3.54,"18581816,18249185,25538,19152824,18934854,21621,19157931,24678,18311125"
4,700005,22.5981,88.3581,Shobha Bazar,Shobha Bazar,"North Indian,Chinese,Fast Food,Bakery,Biryani",4.33,"23359,25208,18649952,22078,25560,21612,18420477,23836,24502"
95,700102,22.595,88.4367,Kestopur,Kestopur,"North Indian,Chinese,Fast Food,Biryani,Bengali",4.43,"18712598,18162654,21483,18162667,18440200,18740148,18586622,18623944,18535732"
63,700067,22.59428028,88.38602029,Ultadanga,Ultadanga,"Chinese,North Indian,Fast Food,Biryani,Bengali",3.79,"18461760,23359,25208,18649952,21612,18420477,21269,23836,24502"
61,700064,22.5925,88.4127,"Sector 1, Salt Lake","Sector 1, Salt Lake","Chinese,North Indian,Fast Food,Desserts,Beverages",5.00,"19059355,18377098,18568762,19300247,18531241,23933,19133966,19170243,25628"
5,700006,22.5891,88.3688,Hatibagan,Hatibagan,"Chinese,North Indian,Fast Food,Biryani,Bengali",4.80,"23359,25208,18017618,18649952,21288,22078,25560,25213,21612"
36,700037,22.5849452,88.3921396,Kankurgachi,Kankurgachi,"Chinese,North Indian,Fast Food,Desserts,Bakery",4.87,"18812843,18461760,21220,20984,20782,18420396,21354,24833,21269"
142,700156,22.5837,88.4696,New Town,New Town,"North Indian,Chinese,Biryani,Fast Food,Continental",3.54,"18581816,18249185,25538,19152824,18934854,21621,19157931,24678,18311125"
6,700007,22.5826,88.3617,Girish Park,College Street,"North Indian,Chinese,Fast Food,Mishti,Biryani",4.81,"18440243,18560756,21411,18017618,18761176,22429,25560,25213,25568"
85,700091,22.5817,88.4304,"Sector 2, Salt Lake","Sector 5, Salt Lake","North Indian,Chinese,Fast Food,Biryani,Bengali",4.86,"19314111,18751849,18259462,22804,18897756,20842,18471909,18653854,23767"
52,700054,22.5801,88.3905,Kankurgachi,Kankurgachi,"Chinese,North Indian,Fast Food,Desserts,Bakery",4.87,"18812843,18461760,21220,20984,20782,18420396,21354,24833,21269"
10,700011,22.5775,88.381,Kankurgachi,Maniktala,"North Indian,Chinese,Fast Food,Biryani,Mishti",4.57,"23359,18017618,18649952,21288,25560,22078,25213,25568,23836"
8,700009,22.5767,88.3735,Sealdah Area,College Street,"North Indian,Chinese,Fast Food,Mishti,Biryani",4.81,"18440243,18560756,21411,18017618,18761176,22429,25560,25213,25568"
99,700106,22.57608544,88.41477104,"Sector 3, Salt Lake","Sector 3, Salt Lake","North Indian,Chinese,Fast Food,Desserts,Beverages",4.83,"18812843,22804,21220,18570407,20782,19170243,18620365,18899191,18420396"
69,700073,22.57483427,88.36035072,College Street,Bow Bazar,"Chinese,North Indian,Fast Food,Biryani,Bengali",4.76,"18440243,18560756,18573069,21411,18761176,21636,22429,18673556,22095"
0,700001,22.5736,88.3483,Dalhousie BBD Bagh,Dalhousie BBD Bagh,"North Indian,Chinese,Fast Food,Street Food,Mishti",4.92,"18440243,18560756,21411,21636,22429,18673556,21581,19137878,20012"
90,700097,22.5726216,88.4090735,"Sector 3, Salt Lake","Sector 3, Salt Lake","North Indian,Chinese,Fast Food,Desserts,Beverages",4.83,"18812843,22804,21220,18570407,20782,19170243,18620365,18899191,18420396"
11,700012,22.5684,88.3616,Bow Bazar,Bow Bazar,"Chinese,North Indian,Fast Food,Biryani,Bengali",4.76,"18440243,18560756,18573069,21411,18761176,21636,22429,18673556,22095"
91,700098,22.56595899,88.41149702,"Sector 3, Salt Lake","Sector 3, Salt Lake","North Indian,Chinese,Fast Food,Desserts,Beverages",4.83,"18812843,22804,21220,18570407,20782,19170243,18620365,18899191,18420396"
