,name,id,address,zipcode,locality,latitude,longitude,cuisines,average_cost_for_two,highlights,aggregate_rating,number_of_reviews
212,Desi Chullah,19164059,"308, Kendua Main Road, Garia, Kolkata",,Garia,22.4716533648,88.3779250458,"North Indian, Mughlai",800,"Lunch,Cash,Delivery,Credit Card,Dinner,Takeaway Available,Debit Card,Free Parking,Table booking recommended,Indoor Seating,Kid Friendly,Wifi",4.3,100
213,Hong Kong,18572855,"308/1A, Diamond Harbour Road, Near Axis Bank, Thakurpukur Branch, Joka, Kolkata",,Joka,22.4586385306,88.3062993363,"Chinese, North Indian, Biryani, Momos",500,"Dinner,Cash,Delivery,Credit Card,Lunch,Takeaway Available,Debit Card,Free Parking,Indoor Seating,Air Conditioned,Outdoor Seating,Digital Payments Accepted,Kid Friendly,Self Service",3.6,105
214,Shimla Biryani,25190,"610, V.I.P. Nagar, Ruby Hospital Area, Kolkata",700100,Ruby Hospital Area,22.5258909712,88.3960309625,"Biryani, Mughlai, Fast Food, North Indian, Rolls, Beverages",650,"Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Debit Card,Live Sports Screening,Indoor Seating,Air Conditioned,Valet Parking Available,Digital Payments Accepted",4.1,1091
215,Aahar Food Station,19312247,"Saptarshi Apartment, Holding 3152, Teghoria Sonarpur Station Road, Rajpur, Sonarpur, Kolkata",,Sonarpur,22.4434520000,88.4154230000,"Chinese, Biryani, Rolls",200,"Takeaway Available,Dinner,Lunch,Cash,Outdoor Seating,Digital Payments Accepted",0,1
216,The Foodiez,18557935,"3H/5, Ibrahim Road, Kidderpore, Kolkata",700023,Kidderpore,22.5352599089,88.3249520883,Fast Food,250,"No Seating Available,Cash,Takeaway Available,Dinner,Delivery",3.7,96
217,Dhaka Biriyani House & Restaurant,21985,"144/1, Dunlop, B.T. Road, Baranagar, Kolkata",0,Baranagar,22.6524078165,88.3773081377,"Biryani, Chinese, Bengali",500,"Dinner,Cash,Takeaway Available,Lunch,Delivery,Indoor Seating,Table Reservation Not Required",3.5,234
218,Chowman,18198695,"6A/2, Banamali Ghoshal Lane, James Long Sarani, Behala, Kolkata",,Behala,22.4893332505,88.3168196306,"Chinese, Asian, Seafood, Cantonese",1000,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",4.3,1254
219,Traffic Gastropub,18414440,"2nd Floor, City Centre 2 Mall, Rajarhat Newtown, Chinar Park, Kolkata",700157,"City Centre 2 Mall, Chinar Park",22.6230333978,88.4499276057,"North Indian, Italian, Pizza",1500,"Dinner,Mall Parking,Credit Card,Lunch,Cash,Takeaway Available,Debit Card,DJ,Live Entertainment,Nightlife,Indoor Seating,Table booking recommended,Smoking Area,Karaoke,Live Sports Screening,Fullbar,Above 18 Only,Air Conditioned",4.3,1152
220,Oudh 1590,25628,"Shop CD 86, Sector 1, Near Seva Hospital, Salt Lake, Kolkata",,"Sector 1, Salt Lake",22.5920080815,88.4119253978,"Biryani, Mughlai, Awadhi, Kebab",1200,"Dinner,Cash,Takeaway Available,Breakfast,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",4.3,2725
221,Penguin Restaurant,22552,"52/2, Danesh Sheikh Lane, Andul Road, Howrah",,Andul Road,22.5632077915,88.2962226123,"Chinese, North Indian, Seafood",450,"Dinner,Cash,Takeaway Available,Lunch,Delivery,Indoor Seating,Air Conditioned",3.6,167
